Array Design Name	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Provider	Hideo Iwasaki(hideo-iwasaki@waseda.jp)
Comment[ArrayExpressAccession]	A-GEOD-8012
Comment[SecondaryAccession]	GPL8012
Comment[Description]	Array Manufacturer: Affymetrix, Distribution: non-commercial, Technology: in situ oligonucleotide<br>Comment[7942_ID] = S. elongatus PCC 7942 gene ID  (cf. Complete Genomic Sequence GenBank Accession number NC_007604)<br>Comment[6301_ID] = S. elongatus PCC 6301 gene ID of sequence used to design oligonucleotide probe (cf. Complete Genomic Sequence GenBank Accession number NC_006576)<br>Comment[SYMBOL] = Gene symbol name<br>Comment[ORF] = LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?CMD=search&DB=gene&cmd=search&term= LINK_SUF:[gene name]<br>Comment[DESCRIPTION] = Gene description
Comment[SubmittedName]	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Comment[Organism]	Synechococcus elongatus PCC 7942 Synechococcus elongatus PCC 6301
Printing Protocol	Affymetrix prokaryotic array protocol (see Affymetrix website)
Surface Type	
Substrate Type	
Term Source Name

Reporter Name	Comment[7942_ID]	Comment[6301_ID]	Comment[SYMBOL]	Comment[ORF]	Comment[DESCRIPTION]
syc0612-m_at	Synpcc7942_0936	syc0606_d		syc0606	hypothetical protein
syc0613-m_at	Synpcc7942_0935	syc0607_d		syc0607	hypothetical protein
syc0614-h_at	Synpcc7942_0934	syc0608_c		syc0608	hypothetical protein, probable glycosyl transferase
syc0615-m_at	Synpcc7942_0933	syc0609_d	narM	syc0609	Nitrate reductase-related protein
syc0616-h_at	Synpcc7942_0932	syc0610_c	lpxB	syc0610	lipid A disaccharide synthase
syc0617-h_at	Synpcc7942_0931	syc0611_c	lpxA	syc0611	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine o-acyltransferase
syc0618-h_at	Synpcc7942_0930	syc0612_c	fabA	syc0612	(3R)-hydroxymyristol acyl carrier protein dehydrase
syc0619-h_at	Synpcc7942_0929	syc0613_c	lpxC	syc0613	UDP-3-0-acyl N-acetylglcosamine deacetylase
syc0620-h_at	Synpcc7942_0928	syc0614_c		syc0614	chloroplastic outer envelope membrane protein homolog
syc0621-h_at	Synpcc7942_0927	syc0615_c	purC	syc0615	phosphoribosyl aminoidazole succinocarboxamide synthetase
syc0622-h_at	Synpcc7942_0926	syc0616_c		syc0616	hypothetical protein
syc0623-m_at	Synpcc7942_0925	syc0617_d	purD	syc0617	glycinamide ribonucleotide synthetase
syc0624-m_at	Synpcc7942_0924	syc0618_d	hik33, chk33, ycf26, dspA, nblS, dfr	syc0618	two-component system histidine kinase, multi-signal sensor
syc0625-m_at	Synpcc7942_0923	syc0619_d		syc0619	5'-methylthioadenosine phosphorylase
syc0626-m_at	Synpcc7942_0922	syc0620_d	gltX	syc0620	glutamyl-tRNA synthetase
syc0627-m_at	Synpcc7942_0921	syc0621_d		syc0621	hypothetical protein
syc0628-m_at	Synpcc7942_0920	syc0622_d	psaK, psaK1	syc0622	photosystem I reaction center subunit X
syc0629-h_at	Synpcc7942_0919	syc0623_c		syc0623	hypothetical protein
syc0630-h_at	Synpcc7942_0918	syc0624_c	fadD	syc0624	long-chain-fatty-acid CoA ligase
syc0631-m_at	Synpcc7942_0917	syc0625_d		syc0625	hypothetical protein
syc0632-m_at	Synpcc7942_0916	syc0626_d		syc0626	hypothetical protein
syc0633-m_at	Synpcc7942_0915	syc0627_d	aroQ	syc0627	3-dehydroquinate dehydratase
syc0634-m_at	Synpcc7942_0914	syc0628_d		syc0628	similar to tRNA-(MS[2]IO[6]A)-hydroxylase
syc0635-m_at	Synpcc7942_0913	syc0629_d		syc0629	putative acetyltransferase
syc0636-h_at	Synpcc7942_0912	syc0630_c	dnaX	syc0630	DNA polymerase III subunit gamma/tau
syc0637-h_at	Synpcc7942_0911	syc0631_c		syc0631	hypothetical protein
syc0638-h_at	Synpcc7942_0910	syc0632_c		syc0632	hypothetical protein
syc0639-h_at	Synpcc7942_0909	syc0633_c	ycf57, iscA	syc0633	hypothetical protein YCF57
syc0640-h_at	Synpcc7942_0908	syc0634_c		syc0634	
syc0641-h_at	Synpcc7942_0907	syc0635_c		syc0635	
syc0642-h_at	Synpcc7942_0904	syc0636_c		syc0636	
syc0643-m_at	Synpcc7942_0903	syc0637_d	acnB	syc0637	aconitate hydratase 2
syc0644-m_at	Synpcc7942_0902	syc0638_d		syc0638	
syc0645-h_at	Synpcc7942_0901	syc0639_c		syc0639	putative hydrolase
syc0646-m_at	Synpcc7942_0900	syc0640_d	gifA	syc0640	glutamine synthetase inactivating factor
syc0647-m_at	Synpcc7942_0899	syc0641_d		syc0641	hypothetical protein
syc0648-h_at	Synpcc7942_0898	syc0642_c		syc0642	ferredoxin like protein
syc0649-h_at	Synpcc7942_0897	syc0643_c	minE	syc0643	septum site-determining protein
syc0650-h_at	Synpcc7942_0896	syc0644_c	minD	syc0644	septum site-determining protein MinD
syc0651-m_at	Synpcc7942_0895	syc0645_d		syc0645	
syc0652-m_at	Synpcc7942_0894	syc0646_d	aroK	syc0646	shikimate kinase
syc0654-m_at	Synpcc7942_0892	syc0648_d		syc0648	hypothetical protein
syc0655-h_at	Synpcc7942_0891	syc0649_c		syc0649	hypothetical protein
syc0656-h_at	Synpcc7942_0890	syc0650_c	glsF, gltS	syc0650	ferredoxin-dependent glutamate synthase
syc0657-m_at	Synpcc7942_0889	syc0651_d		syc0651	hypothetical protein
syc0658-m_at	Synpcc7942_0888	syc0652_d		syc0652	similar to mannose-1-phosphate guanylyltransferase
syc0659-m_at	Synpcc7942_0887	syc0653_d	rps12	syc0653	30S ribosomal protein S12
syc0660-m_at	Synpcc7942_0886	syc0654_d	rps7	syc0654	30S ribosomal protein S7
syc0661-m_at	Synpcc7942_0885	syc0655_d	fus	syc0655	elongation factor EF-G
syc0662-m_at	Synpcc7942_0884	syc0656_d	tufA	syc0656	elongation factor Tu
syc0663-m_at	Synpcc7942_0883	syc0657_d	rps10	syc0657	30S ribosomal protein S10
syc0664-m_at	Synpcc7942_0882	syc0658_d	lon	syc0658	ATP-dependent Lon protease
syc0665-h_at	Synpcc7942_0881	syc0659_c	pheA	syc0659	prephenate dehydratase
syc0666-m_at	Synpcc7942_0880	syc0660_d		syc0660	hypothetical protein
syc0667-h_at	Synpcc7942_0879	syc0661_c	rhnB	syc0661	ribonuclease HII
syc0668-h_at	Synpcc7942_0878	syc0662_c	rne	syc0662	ribonuclease E
syc0669-h_at	Synpcc7942_0877	syc0663_c		syc0663	hypothetical protein
syc0670-h_at	Synpcc7942_0876	syc0664_c	alaS	syc0664	alanyl-tRNA synthetase
syc0671-m_at	Synpcc7942_0875	syc0665_d		syc0665	hypothetical protein
syc0672-m_at	Synpcc7942_0874	syc0666_d		syc0666	putative SNF2 helicase
syc0673-m_at	Synpcc7942_0873	syc0667_d		syc0667	
syc0674-h_at	Synpcc7942_0872	syc0668_c		syc0668	hypothetical protein
syc0675-m_at	Synpcc7942_0871	syc0669_d		syc0669	hypothetical protein
syc0676-m_at	Synpcc7942_0870	syc0670_d		syc0670	hypothetical protein
syc0677-h_at	Synpcc7942_0869	syc0671_c		syc0671	hypothetical protein
syc0678-h_at	Synpcc7942_0868	syc0672_c		syc0672	hypothetical protein
syc0679-h_at	Synpcc7942_0867	syc0673_c		syc0673	hypothetical protein
syc0680-h_at	Synpcc7942_0866	syc0674_c		syc0674	
syc0681-h_at	Synpcc7942_0865	syc0675_c		syc0675	hypothetical protein
syc0682-h_at	Synpcc7942_0864	syc0676_c		syc0676	hypothetical protein
syc0683-h_at	Synpcc7942_0863	syc0677_c		syc0677	hypothetical protein
syc0684-h_at	Synpcc7942_0862	syc0678_c		syc0678	hypothetical protein
syc0685-m_at	Synpcc7942_0861	syc0679_d		syc0679	hypothetical protein
syc0686-h_at	Synpcc7942_0860	syc0680_c		syc0680	hypothetical protein
syc0687-h_at	Synpcc7942_0859	syc0681_c		syc0681	two-component hybrid sensor and regulator
syc0688-h_at	Synpcc7942_0858	syc0682_c	pixJ1, pisJ1, taxD1, tsr, cheD	syc0682	methyl-accepting chemotaxis protein
syc0689-h_at	Synpcc7942_0857	syc0683_c		syc0683	hypothetical protein
syc0690-h_at	Synpcc7942_0856	syc0684_c		syc0684	two-component response regulator CheY subfamily
syc0691-h_at	Synpcc7942_0855	syc0685_c	pixG, pisG, taxP1, rer1, cheY, rre36	syc0685	two-component response regulator PatA subfamily
syc0692-h_at	Synpcc7942_0854	syc0686_c		syc0686	hypothetical protein, predicted bile acid beta-glucosidase
syc0693-h_at	Synpcc7942_0853	syc0687_c	dapL1	syc0687	LL-diaminopimelate aminotransferase
syc0694-h_at		syc0688_c		syc0688	pseudo transposase
syc0695-h_at	Synpcc7942_0851	syc0689_c	purM	syc0689	phosphoribosyl formylglycinamidine cyclo-ligase
syc0696-m_at	Synpcc7942_0850	syc0690_d		syc0690	hypothetical protein
syc0697-m_at	Synpcc7942_0849	syc0691_d		syc0691	hypothetical protein
syc0698-m_at	Synpcc7942_0848	syc0692_d	uvrA	syc0692	excinuclease ABC subunit A
syc0699-m_at	Synpcc7942_0847	syc0693_d	pilT	syc0693	twitching mobility protein
syc0700-m_at	Synpcc7942_0846	syc0694_d		syc0694	hypothetical protein
syc0701-h_at	Synpcc7942_0845	syc0695_c		syc0695	
syc0702-m_at	Synpcc7942_0844	syc0696_d		syc0696	hypothetical protein
syc0703-m_at	Synpcc7942_0843	syc0697_d		syc0697	
syc0704-m_at	Synpcc7942_0842	syc0698_d	gor, gshR	syc0698	dihydrolipoamide dehydrogenase
syc0705-h_at	Synpcc7942_0841	syc0699_c		syc0699	hypothetical protein
syc0706-m_at	Synpcc7942_0840	syc0700_d		syc0700	hypothetical protein
syc0708-m_at	Synpcc7942_0839	syc0701_d	merR	syc0701	nitrilase
syc0709-m_at	Synpcc7942_0838	syc0702_d		syc0702	hypothetical protein
syc0710-m_at	Synpcc7942_0837	syc0703_d		syc0703	hypothetical protein
syc0711-m_at	Synpcc7942_0836	syc0704_d		syc0704	hypothetical protein
syc0712-h_at	Synpcc7942_0835	syc0705_c	ruvB	syc0705	holliday junction DNA helicase RuvB
syc0713-h_at	Synpcc7942_0834	syc0706_c		syc0706	hypothetical protein
syc0714-h_at	Synpcc7942_0833	syc0707_c		syc0707	conserved hypothetical protein
syc0715-m_at		syc0708_d		syc0708	pseudo transposase
syc0716-m_at	Synpcc7942_0831	syc0709_d		syc0709	hypothetical protein
syc0717-h_at	Synpcc7942_0830	syc0710_c	asnS	syc0710	asparaginyl-tRNA synthetase
syc0718-m_at	Synpcc7942_0828	syc0711_d		syc0711	hypothetical protein
syc0719-m_at	Synpcc7942_0827	syc0712_d	cobW	syc0712	cobalamin synthesis protein CobW
syc0720-h_at	Synpcc7942_0826	syc0713_c		syc0713	hypothetical protein
syc0721-m_at	Synpcc7942_0825	syc0714_d		syc0714	hypothetical protein
syc0722-h_at	Synpcc7942_0824	syc0715_c		syc0715	hypothetical protein
syc0723-h_at	Synpcc7942_0823	syc0716_c		syc0716	hypothetical protein
syc0724-h_at	Synpcc7942_0822	syc0717_c	appB, dppB	syc0717	permease protein of oligopeptide ABC
syc0725-h_at	Synpcc7942_0821	syc0718_c	ddpA	syc0718	periplasmic oligopeptide-binding
syc0726-h_at	Synpcc7942_0820	syc0719_c		syc0719	
syc0727-h_at	Synpcc7942_0819	syc0720_c	purL	syc0720	phosphoribosyl formylglycinamidine synthase
syc0728-h_at	Synpcc7942_0818	syc0721_c		syc0721	hypothetical protein
syc0729-m_at	Synpcc7942_0817	syc0722_d		syc0722	ferric uptake regulation protein  Transcription facotr Fur family
syc0730-m_at	Synpcc7942_0816	syc0723_d		syc0723	hypothetical protein
syc0731-h_at	Synpcc7942_0815	syc0724_c	livF	syc0724	branched-chain amino acid transport system ATP-binding protein
syc0732-h_at	Synpcc7942_0814	syc0725_c		syc0725	ferredoxin-like protein
syc0733-h_at	Synpcc7942_0813	syc0726_c	hisS	syc0726	histidyl tRNA synthetase
syc0734-h_at	Synpcc7942_0812	syc0727_c		syc0727	similar to DnaJ protein
syc0735-h_at	Synpcc7942_0811	syc0728_c		syc0728	Na+/H+ antiporter
syc0736-h_at	Synpcc7942_0809	syc0729_c		syc0729	hypothetical protein
syc0737-m_at	Synpcc7942_0808	syc0730_d	sps	syc0730	sucrose phosphate synthase
syc0738-h_at	Synpcc7942_0807	syc0731_c		syc0731	hypothetical protein
syc0739-h_at	Synpcc7942_0806	syc0732_c		syc0732	hypothetical protein
syc0740-h_at	Synpcc7942_0805	syc0733_c		syc0733	hypothetical protein
syc0741-h_at	Synpcc7942_0804	syc0734_c	pdxA	syc0734	pyridoxal phosphate biosynthetic protein PdxA
syc0742-m_at	Synpcc7942_0803	syc0735_d		syc0735	hypothetical protein
syc0743-h_at	Synpcc7942_0802	syc0736_c		syc0736	
syc0744-h_at	Synpcc7942_0801	syc0737_c	sodB	syc0737	superoxide dismutase
syc0745-m_at	Synpcc7942_0800	syc0738_d	cpcT	syc0738	phycocyanobilin lyase
syc0746-m_at	Synpcc7942_0799	syc0739_d		syc0739	hypothetical protein, similar to Fe-S oxidoreductase
syc0747-m_at	Synpcc7942_0798	syc0740_d	ruvC	syc0740	holliday junction resolvase RuvC
syc0748-h_at	Synpcc7942_0796	syc0741_c		syc0741	hypothetical protein
syc0749-m_at	Synpcc7942_0795	syc0742_d		syc0742	
syc0750-m_at	Synpcc7942_0794	syc0743_d		syc0743	similar to chloroplast membrane-associated 30 kD protein
syc0751-m_at	Synpcc7942_0793	syc0744_d		syc0744	hypothetical protein
syc0752-m_at		syc0745_d		syc0745	
syc0753-m_at	Synpcc7942_0791	syc0746_d	pcnB	syc0746	polyA polymerase
syc0754-m_at	Synpcc7942_0790	syc0747_d	rbp3	syc0747	RRM-type RNA-binding protein
syc0755-m_at	Synpcc7942_0789	syc0748_d		syc0748	
syc0756-m_at	Synpcc7942_0788	syc0749_d	gst1	syc0749	glutathione S-transferase
syc0757-h_at	Synpcc7942_0787	syc0750_c	phoA	syc0750	putative purple acid phosphatase
syc0758-h_at	Synpcc7942_0786	syc0751_c		syc0751	hypothetical protein
syc0759-h_at	Synpcc7942_0785	syc0752_c	ponA, mrcB	syc0752	penicillin-binding protein
syc0760-h_at	Synpcc7942_0784	syc0753_c		syc0753	
syc0761-m_at	Synpcc7942_0783	syc0754_d	hisG	syc0754	ATP phosphoribosyltransferase
syc0762-m_at	Synpcc7942_0782	syc0755_d		syc0755	ATP-binding protein of ABC transporter
syc0763-m_at	Synpcc7942_0781	syc0756_d	ppsA, pps	syc0756	phosphoenolpyruvate synthase
syc0764-m_at	Synpcc7942_0780	syc0757_d		syc0757	serine/threonine kinase
syc0765-h_at	Synpcc7942_0779	syc0758_c		syc0758	hypothetical protein
syc0766-m_at	Synpcc7942_0777	syc0759_d	folD	syc0759	FolD bifunctional protein
syc0767-m_at	Synpcc7942_0776	syc0760_d	crtE	syc0760	geranylgeranyl diphosphate synthase
syc0768-m_at	Synpcc7942_0775	syc0761_d		syc0761	hypothetical protein
syc0769-h_at	Synpcc7942_0774	syc0762_c		syc0762	esterase
syc0770-m_at	Synpcc7942_0773	syc0763_d	ycf52	syc0763	hypothetical protein YCF52
syc0771-m_at	Synpcc7942_0772	syc0764_d		syc0764	hypothetical protein
syc0772-m_at	Synpcc7942_0771	syc0765_d		syc0765	hypothetical protein
syc0773-h_at	Synpcc7942_0770	syc0766_c		syc0766	hypothetical protein
syc0774-h_at	Synpcc7942_0769	syc0767_c		syc0767	hypothetical protein
syc0775-h_at	Synpcc7942_0768	syc0768_c		syc0768	hypothetical protein
syc0776-h_at	Synpcc7942_0767	syc0769_c		syc0769	
syc0777-h_at	Synpcc7942_0766	syc0770_c		syc0770	DNA-damage-inducible protein
syc0778-m_at	Synpcc7942_0764	syc0771_d		syc0771	
syc0779-m_at	Synpcc7942_0763	syc0772_d		syc0772	transcriptional regulator   Fur family
syc0780-m_at	Synpcc7942_0762	syc0773_d		syc0773	
syc0781-m_at	Synpcc7942_0761	syc0774_d		syc0774	hypothetical protein
syc0782-h_at		syc0775_c		syc0775	
syc0783-h_at	Synpcc7942_0759	syc0776_c		syc0776	
syc0784-h_at	Synpcc7942_0756	syc0777_c		syc0777	chain A, D20c mutant of T4 lysozyme
syc0785-h_at	Synpcc7942_0755	syc0778_c		syc0778	
syc0786-h_at	Synpcc7942_0753	syc0779_c		syc0779	phage late control gene D protein (GPD)
syc0787-h_at	Synpcc7942_0752	syc0780_c		syc0780	
syc0788-h_at	Synpcc7942_0751	syc0781_c		syc0781	hypothetical protein
syc0789-h_at	Synpcc7942_0750	syc0782_c		syc0782	putative bacteriophage protein
syc0790-h_at	Synpcc7942_0748	syc0783_c		syc0783	phage tail tube protein FII
syc0791-h_at	Synpcc7942_0747	syc0784_c		syc0784	hypothetical protein
syc0792-h_at	Synpcc7942_0746	syc0785_c		syc0785	
syc0793-h_at	Synpcc7942_0745	syc0786_c		syc0786	
syc0794-h_at	Synpcc7942_0744	syc0787_c		syc0787	
syc0795-h_at	Synpcc7942_0743	syc0788_c		syc0788	
syc0796-h_at	Synpcc7942_0742	syc0789_c		syc0789	
syc0797-h_at	Synpcc7942_0741	syc0790_c		syc0790	
syc0798-h_at	Synpcc7942_0740	syc0791_c		syc0791	similar to GPJ of phage P2
syc0799-h_at	Synpcc7942_0739	syc0792_c		syc0792	
syc0800-h_at		syc0793_c		syc0793	
syc0801-h_at	Synpcc7942_0737	syc0794_c		syc0794	
syc0802-h_at	Synpcc7942_0736	syc0795_c		syc0795	electron transfer protein
syc0803-h_at	Synpcc7942_0735	syc0796_c		syc0796	
syc0804-h_at	Synpcc7942_0734	syc0797_c		syc0797	hypothetical protein
syc0805-h_at	Synpcc7942_0733	syc0798_c		syc0798	hypothetical protein
syc0806-h_at	Synpcc7942_0732	syc0799_c		syc0799	hypothetical protein
syc0807-h_at	Synpcc7942_0731	syc0800_c		syc0800	putative phage terminase large subunit
syc0808-h_at	Synpcc7942_0730	syc0801_c		syc0801	hypothetical protein
syc0809-h_at	Synpcc7942_0729	syc0802_c		syc0802	
syc0810-h_at	Synpcc7942_0728	syc0803_c		syc0803	
syc0811-h_at	Synpcc7942_0727	syc0804_c		syc0804	
syc0812-h_at	Synpcc7942_0726	syc0805_c		syc0805	hypothetical protein
syc0813-h_at	Synpcc7942_0725	syc0806_c		syc0806	putative helicase
syc0814-h_at	Synpcc7942_0724	syc0807_c		syc0807	
syc0815-m_at	Synpcc7942_0723	syc0808_d		syc0808	
syc0816-m_at	Synpcc7942_0722	syc0809_d		syc0809	
syc0817-m_at	Synpcc7942_0720	syc0810_d		syc0810	
syc0818-m_at	Synpcc7942_0719	syc0811_d		syc0811	
syc0819-m_at	Synpcc7942_0718	syc0812_d		syc0812	
syc0820-m_at	Synpcc7942_0717	syc0813_d	dcd	syc0813	dCTP deaminase
syc0821-h_at	Synpcc7942_0716	syc0814_c		syc0814	hypothetical protein
syc0822-h_at	Synpcc7942_0715	syc0815_c	murZ	syc0815	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
syc0823-m_at	Synpcc7942_0714	syc0816_d	amiA	syc0816	N-acetylmuramoyl-L-alanine amidase
syc0824-m_at	Synpcc7942_0713	syc0817_d		syc0817	hypothetical protein
syc0825-m_at	Synpcc7942_0712	syc0818_d		syc0818	periplasmic carboxyl-terminal protease
syc0826-h_at	Synpcc7942_0711	syc0819_c	pyrA	syc0819	carbamoyl-phosphate synthase pyrimidine-specific large chain
syc0827-m_at	Synpcc7942_0710	syc0820_d		syc0820	hypothetical protein
syc0828-h_at	Synpcc7942_0709	syc0821_c		syc0821	
syc0829-h_at	Synpcc7942_0708	syc0822_c		syc0822	hypothetical protein, predicted unusual protein kinase
syc0830-m_at	Synpcc7942_0707	syc0823_d	cad, ldcC	syc0823	lysine decarboxylase
syc0831-m_at	Synpcc7942_0706	syc0824_d	cobL	syc0824	precorrin decarbocylase
syc0832-h_at	Synpcc7942_0705	syc0825_c		syc0825	hypothetical protein
syc0833-h_at	Synpcc7942_0704	syc0826_c	act	syc0826	acetyltransferase
syc0834-h_at	Synpcc7942_0703	syc0827_c	smf	syc0827	hypothetical protein
syc0835-h_at	Synpcc7942_0702	syc0828_c		syc0828	hypothetical protein
syc0836-h_at	Synpcc7942_0701	syc0829_c		syc0829	hypothetical protein
syc0837-m_at	Synpcc7942_0700	syc0830_d		syc0830	hypothetical protein
syc0838-h_at	Synpcc7942_0699	syc0831_c	psbM	syc0831	photosystem II PsbM protein
syc0839-h_at	Synpcc7942_0698	syc0832_c		syc0832	probable ferredoxin
syc0840-m_at	Synpcc7942_0697	syc0833_d	psbB	syc0833	photosystem II core light harvesting protein
syc0841-m_at	Synpcc7942_0696	syc0834_d	psbTc	syc0834	photosystem II PsbTc protein
syc0842-m_at	Synpcc7942_0695	syc0835_d		syc0835	hypothetical protein
syc0843-m_at	Synpcc7942_0694	syc0836_d	rps1	syc0836	30S ribosomal protein S1
syc0844-m_at	Synpcc7942_0693	syc0837_d		syc0837	hypothetical protein
syc0845-m_at	Synpcc7942_0692	syc0838_d		syc0838	
syc0846-m_at	Synpcc7942_0690	syc0839_d		syc0839	hypothetical protein
syc0847-m_at	Synpcc7942_0689	syc0840_d		syc0840	hypothetical protein
syc0848-h_at	Synpcc7942_0688	syc0841_c		syc0841	transcriptional regulator  ArsR type-2 family
syc0849-h_at	Synpcc7942_0687	syc0842_c		syc0842	hypothetical protein
syc0850-h_at	Synpcc7942_0686	syc0843_c		syc0843	hypothetical protein
syc0851-h_at	Synpcc7942_0685	syc0844_c	groEL-2	syc0844	60kD chaperonin 2
syc0852-h_at	Synpcc7942_0684	syc0845_c	fabG	syc0845	3-oxoacyl-[acyl-carrier protein] reductase
syc0853-h_at	Synpcc7942_0683	syc0846_c		syc0846	potassium channel
syc0854-h_at	Synpcc7942_0682	syc0847_c		syc0847	hypothetical protein
syc0855-m_at	Synpcc7942_0681	syc0848_d	ispD	syc0848	4-diphosphocytidyl-2C-methyl-D-erythritol synthase
syc0856-h_at	Synpcc7942_0680	syc0849_c		syc0849	similar to sterol C5-desaturase
syc0857-h_at	Synpcc7942_0679	syc0850_c	rbp1, 12rnp1	syc0850	RRM-type RNA-binding protein
syc0858-h_at	Synpcc7942_0678	syc0851_c	rnd	syc0851	probable ribonuclease D
syc0859-m_at	Synpcc7942_0677	syc0852_d	pex	syc0852	circadian period extender gene,  Transcription factor PadR family
syc0860-h_at	Synpcc7942_0676	syc0853_c		syc0853	hypothetical protein
syc0861-m_at	Synpcc7942_0675	syc0854_d		syc0854	hypothetical protein
syc0862-h_at	Synpcc7942_0674	syc0855_c	hemF	syc0855	coproporphyrinogen III oxidase
syc0863-h_at	Synpcc7942_0673	syc0856_c	mutT	syc0856	mutator MutT protein
syc0864-h_at	Synpcc7942_0672	syc0857_c	rpoD3, sigD	syc0857	group2 RNA polymerase sigma factor RpoD3
syc0865-h_at	Synpcc7942_0671	syc0858_c		syc0858	hypothetical protein
syc0866-h_at	Synpcc7942_0670	syc0859_c	pyrB	syc0859	aspartate carbamoyltransferase
syc0867-h_at	Synpcc7942_0669	syc0860_c	mpg	syc0860	N-methylpurine-DNA glycosirase
syc0868-h_at	Synpcc7942_0667	syc0861_c		syc0861	hypothetical protein
syc0869-h_at	Synpcc7942_0666	syc0862_c		syc0862	hypothetical protein
syc0870-m_at	Synpcc7942_0665	syc0863_d		syc0863	hypothetical protein
syc0871-h_at	Synpcc7942_0664	syc0864_c		syc0864	hypothetical protein
syc0872-h_at	Synpcc7942_0663	syc0865_c	cya2	syc0865	guanylyl cyclase
syc0873-h_at	Synpcc7942_0662	syc0866_c		syc0866	hypothetical protein
syc0874-h_at	Synpcc7942_0661	syc0867_c		syc0867	hypothetical protein, similar to chromosome segregation ATPase
syc0875-h_at	Synpcc7942_0660	syc0868_c	tyrA	syc0868	prephenate dehydrogenase
syc0876-m_at	Synpcc7942_0659	syc0869_d		syc0869	hypothetical protein, carboxyl-terminal protease
syc0878-m_at	Synpcc7942_0658	syc0870_d		syc0870	hypothetical protein
syc0879-m_at	Synpcc7942_0657	syc0871_d		syc0871	hypothetical protein
syc0880-h_at	Synpcc7942_0656	syc0872_c	psbC	syc0872	photosystem II CP43 protein
syc0881-h_s_at	Synpcc7942_0655	syc0873_c	psbDI	syc0873	photosystem II reaction center D2 protein
syc0882-m_at	Synpcc7942_0654	syc0874_d	ycf4	syc0874	photosystem I assembly related protein
syc0883-m_at	Synpcc7942_0653	syc0875_d	ppiB	syc0875	peptidyl-prolyl cis-trans isomerase
syc0884-m_at	Synpcc7942_0652	syc0876_d		syc0876	hypothetical protein
syc0885-h_at	Synpcc7942_0651	syc0877_c	priA	syc0877	primosomal protein N'
syc0886-m_at	Synpcc7942_0650	syc0878_d		syc0878	hypothetical protein
syc0887-m_at	Synpcc7942_0649	syc0879_d	rpoD1, sigA	syc0879	principal RNA polymerase sigma factor RpoD1
syc0888-h_at	Synpcc7942_0647	syc0880_c		syc0880	hypothetical protein
syc0889-h_at	Synpcc7942_0645	syc0881_c	hemL	syc0881	glutamate-1-semialdehyde aminomutase  (glutamate-1-semialdehyde aminotransferase)
syc0890-h_at	Synpcc7942_0644	syc0882_c	cikA	syc0882	two-component sensor kinase
syc0891-m_at	Synpcc7942_0642	syc0883_d	bcp	syc0883	bacterioferritin comigratory protein
syc0892-m_at	Synpcc7942_0641	syc0884_d	sdhA	syc0884	succinate dehydrogenase flavoprotein subunit
syc0893-h_at	Synpcc7942_0640	syc0885_c		syc0885	ATP-binding protein of ABC transporter
syc0894-h_at	Synpcc7942_0639	syc0886_c	eno	syc0886	enolase
syc0895-m_at	Synpcc7942_0638	syc0887_d	gloA	syc0887	lactoylglutathione lyase
syc0896-m_at	Synpcc7942_0637	syc0888_d	clpB	syc0888	ClpB protein
syc0897-m_at	Synpcc7942_0636	syc0889_d	secE	syc0889	secretory protein
syc0898-m_at	Synpcc7942_0635	syc0890_d	nusG	syc0890	transcription antitermination protein NusG
syc0899-m_at	Synpcc7942_0634	syc0891_d	rpl11	syc0891	50S ribosomal protein L11
syc0900-m_at	Synpcc7942_0633	syc0892_d	rpl1	syc0892	50S ribosomal protein L1
syc0901-m_at	Synpcc7942_0632	syc0893_d	rpl10	syc0893	50S ribosomal protein L10
syc0902-m_at	Synpcc7942_0631	syc0894_d	rpl12	syc0894	50S ribosomal protein L12
syc0903-h_at	Synpcc7942_0630	syc0895_c		syc0895	hypothetical protein
syc0904-h_at	Synpcc7942_0628	syc0896_c		syc0896	hypothetical protein
syc0905-h_at	Synpcc7942_0627	syc0897_c		syc0897	hypothetical protein
syc0906-h_at	Synpcc7942_0626	syc0898_c	ilvD	syc0898	dihydroxyacid dehydratase
syc0908-h_at	Synpcc7942_0625	syc0899_c	ycf45	syc0899	hypothetical protein YCF45
syc0909-h_at	Synpcc7942_0624	syc0900_c	ldpA	syc0900	7Fe-8S cluster-binding motif protein, circadian period modulator
syc0910-h_at	Synpcc7942_0623	syc0901_c	trxB	syc0901	thioredoxin reductase
syc0911-h_at	Synpcc7942_0622	syc0902_c		syc0902	ABC transporter ATP-binding protein
syc0912-h_at	Synpcc7942_0621	syc0903_c		syc0903	
syc0913-h_at	Synpcc7942_0620	syc0904_c		syc0904	hypothetical protein
syc0914-h_at	Synpcc7942_0619	syc0905_c		syc0905	hypothetical protein
syc0915-h_at	Synpcc7942_0618	syc0906_c	ahcY, sahH	syc0906	adenosylhomocysteinase
syc0916-m_at	Synpcc7942_0617	syc0907_d		syc0907	hypothetical protein
syc0917-h_at	Synpcc7942_0616	syc0908_c	hrcA	syc0908	heat-inducible transcription repressor HrcA
